Year,Month,Day,V-TWAS_gal,V-PS_gal,V-HSW_gal,Dig1-T_degF,Dig2-T_degF,Dig1-pH,Dig2-pH,FOG_gal,SRT,HSW-VS_percent,HSW-COD_mgL,Dig1-alk_mgL,Dig2-alk_mgL,Dig1-VFA_mgL,Dig2-VFA_mgL,Dig1-FOS-TAC,Dig2-FOS-TAC,Q-influent_MGD,BOD-influent_mgL,TWAS-VS_percent,PS-VS_percent,Biogas
2020,2,20,12412,12980,0,95.3,95.5,7.38,7.29,2000,31.3,0,0,4894,5064,,,,,2.79,375,3.66,2.69,73
2020,2,21,14807,12577,0,95.7,95.4,7.43,7.34,5000,26.5,0,0,5012,5135,,,,,2.87,410,3.69,2.96,94.4
2020,2,22,10483,10262,0,95.6,95.8,7.29,7.23,0,41.4,0,0,5206,4977,,,,,2.88,549,3.8,,63.5
2020,2,23,12027,9883,0,95.9,95.7,7.22,7.21,0,39.2,0,0,5065,5196,,,,,2.9,818,3.95,,52.5
2020,2,24,12028,8948,0,95.7,95.4,7.23,7.26,16600,22.8,0,0,5327,5235,,,,,2.76,649,3.79,2.86,74.3
2020,2,25,11853,8513,0,95.6,95.6,7.3,7.26,3200,36.4,0,0,5220,4948,,,,,2.73,651,3.91,2.38,58.9
2020,2,26,11771,7570,0,95.3,95.7,7.3,7.29,12375,27.1,0,0,5293,5186,,,,,2.73,931,3.97,2.69,62.4
2020,2,27,15590,11929,0,95.6,95.6,7.22,7.22,0,31.2,0,0,4768,5045,,,,,2.73,417,3.98,2.86,52.4
2020,2,28,11571,12948,0,95.7,95.7,7.34,7.28,10500,24.5,0,0,5308,5434,,,,,2.67,930,4.7,2.51,76.4
2020,2,29,11647,15114,0,95.2,95.5,7.13,7.14,0,32.1,0,0,,,,,,,2.65,530,4.2,,68.4
2020,3,1,11352,16376,0,95.1,95.8,7.21,7.15,0,30.9,0,0,5232,5035,,,,,2.8,520,4.4,,52.4
2020,3,2,11024,22393,0,95.2,95.4,7.17,7.17,9580,20,0,0,5261,5194,,,,,2.61,450,4.4,2.67,79.3
2020,3,3,10162,13410,0,95.7,95.3,7.29,7.15,3500,31.7,0,0,5246,5074,,,,,2.78,442.96,3.95,1.99,66.5
2020,3,4,10097,23107,0,95.7,95.8,7.3,7.26,13080,18.5,0,0,5160,5290,,,,,2.6,461,3.96,2.3,75.2
2020,3,5,13374,15694,0,95.6,95.4,7.26,7.24,2500,27.2,0,0,4949,5179,,,,,2.75,555,3.93,2.54,74.7
2020,3,6,9034,13060,0,95.5,95.8,7.31,7.31,7300,29.2,0,0,5088,4997,,,,,2.72,1000,4.4,2.29,50.8
2020,3,7,10473,15946,0,95.4,95.5,7.37,7.38,0,32.5,0,0,5091,5148,,,,,2.64,760,4.17,,76.1
2020,3,8,9649,13998,0,95.2,95.4,7.47,7.27,0,36.3,0,0,4924,4976,,,,,2.5,411,4.4,,55.5
2020,3,9,10344,15565,0,95.2,95.4,7.31,7.33,7700,25.5,0,0,5095,5043,,,,,5.08,292,3.96,2.4,66.8
2020,3,10,11062,13560,0,95.8,95.6,7.24,7.26,16300,21,0,0,5052,5014,,,,,4.07,310,4.1,2.87,74
2020,3,11,9646,17991,0,95.5,95.7,7.22,7.22,15300,20,0,0,5043,4910,,,,,3.6,346,3.97,3.3,90.8
2020,3,12,12628,22313,0,95.2,95.7,7.29,7.28,4330,21.8,0,0,5119,4972,,,,,3.4,380,4.4,3.25,87.7
2020,3,13,8576,18052,0,95.7,95.7,7.24,7.16,10000,23.4,0,0,5029,4824,,,,,3.11,400,3.89,3.3,69.8
2020,3,14,7747,19590,0,95.7,95.5,7.24,7.23,0,31.4,0,0,5352,5373,,,,,3.06,287,3.82,,51.4
2020,3,15,8218,18766,0,95.6,95.7,7.15,7.21,0,31.8,0,0,5260,5347,,,,,3.04,413,3.78,,49.3
2020,3,16,7521,15811,13036,95.6,95.6,7.28,7.27,16200,21.7,5.62,260000,5316,5378,,,,,3.06,384,3.8,3.79,55.7
2020,3,17,6856,15904,9697,95.1,95.5,7.29,7.23,7200,28.6,5.62,260000,5224,5337,,,,,3.12,374,3.64,4.32,58.8
2020,3,18,7647,15261,3823,95.8,95.9,7.29,7.28,5000,30.7,5.62,260000,5250,5311,,,,,3.53,737,3.78,4.4,54.1
2020,3,19,10460,19136,2652,95.7,95.7,7.28,7.25,0,29,5.62,260000,5214,5357,,,,,3.4,410,3.9,4.5,54
2020,3,20,7049,18781,5810,95.5,95.9,7.33,7.26,15300,20.9,5.62,260000,5148,5347,,,,,3.54,336,3.98,4.13,53.9
2020,3,21,7260,23096,0,95.5,95.1,7.26,7.26,0,28.3,5.62,260000,5018,5170,,,,,3.25,338,3.98,,51.8
2020,3,22,7018,18979,0,95.6,95.6,7.23,7.25,0,33,5.62,260000,5086,5321,,,,,3.15,155,3.87,,46.9
2020,3,23,6776,20778,19188,95.2,95.3,7.13,7.14,20200,18,5.62,260000,5039,5243,,,,,3.43,153.6,3.83,3.3,70.9
2020,3,24,7226,22809,10231,95.9,95.5,7.04,7.03,1200,27.5,5.62,260000,5165,5285,,,,,3.4,378,3.67,3.1,73.4
2020,3,25,7415,22474,24302,95.6,95.7,7.3,7.26,16200,18.6,5.62,260000,4971,5186,,,,,3.41,455,3.85,3.28,80.7
2020,3,26,8915,19002,12458,95.7,95.4,7.33,7.27,4000,26.9,5.62,260000,5139,5259,,,,,3.42,167,3.4,3.25,64.2
2020,3,27,6840,14438,0,95.1,95.3,7.3,7.31,4200,33.7,5.62,260000,5196,5306,,,,,3.63,436,3.83,2.1,38
2020,3,28,5890,16503,0,95.5,95.6,7.14,7.13,0,38.3,5.62,260000,,,,,,,4.13,232,4.7,,37
2020,3,29,4854,18332,0,95.5,95.3,7.16,7.18,0,37,5.62,260000,,,,,,,3.43,346,2.99,,31.8
2020,3,30,8070,21308,4796,95.3,95.7,7.25,7.25,4398,25.4,5.62,260000,,,,,,,3.59,132,3.22,2.41,43.2
2020,3,31,9501,16196,6304,95.3,95.5,7.26,7.26,6000,27.1,5.62,260000,,,,,,,3.66,325,4.1,2.32,52.2
2020,4,1,7989,13553,12706,95.6,95.7,7.23,7.23,17000,25.1,5.62,260000,4954,5163,,,,,3.58,466,4.21,2.5,63.2
2020,4,2,11797,16101,8784,95.7,95.7,7.23,7.2,1440,23.4,6.28,260000,4954,5241,,,,,3.64,352,4.28,3.18,69.1
2020,4,3,7005,13009,3304,95.5,95.5,7.2,7.16,7983,36.8,5.25,260000,5029,5259,,,,,3.54,444,4.25,2.4,55.9
2020,4,4,7317,14790,0,,95.9,7.11,7.07,0,38.8,,260000,5082,5334,,,,,3.47,403,,,47.3
2020,4,5,6640,11871,0,95.4,95.8,7.01,7.06,0,46.4,,260000,5232,5367,,,,,3.34,264,4.25,,41.4
2020,4,6,6687,11949,12591,95.4,95.3,7.24,7.21,15000,27.5,3.33,260000,5249,5410,,,,,3.44,167,4.2,2.72,60.4
2020,4,7,7385,14155,5038,95.7,95.5,7.25,7.21,0,32.3,2.49,260000,5157,5232,,,,,3.6,200,3.84,2.86,64.9
2020,4,8,5637,13486,8907,95.5,95.5,7.28,7.24,12400,30.6,4.21,260000,5286,5206,,,,,3.56,409,3.58,2.97,61.5
2020,4,9,7638,13967,0,95.9,95.4,7.31,7.24,0,39.7,4.21,260000,5297,5222,,,,,3.66,292,3.41,3.5,52.2
2020,4,10,5806,13950,0,95.6,95.7,7.31,7.28,11861,43.4,1.65,260000,5297,5286,,,,,3.7,427,3.56,3.46,64.1
2020,4,11,6074,13702,0,95.3,95.7,7.22,7.21,0,43.4,,260000,5270,5318,,,,,3.58,157,3.82,,50.4
2020,4,12,5856,13671,997,95.6,95.7,7.26,7.24,0,41.8,,260000,5249,5297,,,,,4.03,144,3.85,,42.6
2020,4,13,5547,14665,8763,95.3,95.3,7.26,7.21,19500,29.6,4.47,260000,5286,5313,,,,,3.94,,3.79,3.34,94.4
2020,4,14,5328,14340,21183,95.2,95.6,7.19,7.18,26200,21,1.91,55600,4034,3877,,,,,3.72,393,3.57,4.26,100.8
2020,4,15,5834,14604,11946,95.5,95.8,7.23,7.21,6000,26.5,2.75,77550,3921,3847,,,,,3.79,371,3.26,3.18,77.1
2020,4,16,6294,13856,12876,95.9,95.8,7.27,7.21,14800,26,,70525,4290,3950,,,,,3.64,265,3.24,3.22,61.6
2020,4,17,5560,14128,11847,95.9,95.9,7.19,7.15,5000,27.2,2.73,77225,3069,3005,,,,,4.09,302,3.1,3.3,59.6
2020,4,18,5247,13713,0,95.2,95.7,7.14,7.1,0,45.3,,,5253,5263,,,,,3.8,209.6,3.24,,41.7
2020,4,19,5251,13781,0,95.8,95.1,7.17,7.1,0,45.1,,,5171,5197,,,,,3.39,305,3.24,,35.8
2020,4,20,5653,14057,7081,95.3,95.5,7.24,7.18,11900,32,,106600,5166,5274,,,,,3.61,181,3.48,1.85,43.1
2020,4,21,5077,14364,5456,95.8,95.5,7.22,7.16,1700,34.5,7.28,173100,4809,4611,2245,2232,0.47,0.48,3.6,281,3.81,2.24,58.9
2020,4,22,5403,14196,11109,95.3,95.6,7.26,7.17,15000,27.9,3.91,95850,4949,4552,2274,1842,0.46,0.4,3.58,520,3.48,2.43,65.8
2020,4,23,6218,14329,0,95.6,95.4,7.27,7.21,2400,41.8,,92450,5027,4704,1876,1660,0.37,0.35,3.52,348,3.6,2.25,62.8
2020,4,24,6219,15447,0,95.4,95.9,7.29,7.24,14500,39.6,,58650,4942,4784,2000,2183,0.4,0.46,4.04,409,3.73,2.92,42.5
2020,4,25,5746,18560,0,95.1,95.2,7.28,7.25,0,35.3,,,,,,,,,3.37,291,3.73,,45.6
2020,4,26,5814,13440,1590,95.6,95.6,7.24,7.22,0,41.2,,,,,,,,,3.09,286,3.72,,43.7
2020,4,27,5799,13875,18439,95.3,95.6,7.18,7.18,22883,22.5,3.99,140475,5417,5470,1676,2266,0.31,0.41,3.26,168,3.6,3.23,85.7
2020,4,28,5955,14205,18409,95.3,95.6,7.21,7.19,6400,22.2,6.35,132550,5470,5242,1477,2050,0.27,0.39,3.43,437,3.31,1.78,89.3
2020,4,29,5349,14106,13744,95.7,95.6,7.25,7.23,14630,25.8,3.69,102125,5005,5075,2299,2548,0.46,0.5,3.4,420,3.19,3,81.7
2020,4,30,6658,14173,6750,95.4,95.2,7.23,7.21,2541,31.1,,,5069.5585,5212.18675,2091.3,2307.1,0.41,0.44,3.24,409,3.8,2.92,62.7
2020,5,1,5720,13832,10304,95.8,95.5,7.2,7.15,12281,28.7,0.86,37575,5345,5297,2332,2224,0.44,0.42,3.08,196,3,2.69,59
2020,5,2,6102,13612,12681,95.2,95.8,7.1,7.09,6760,26.5,,,,,,,,,2.97,555,3.17,,74.5
2020,5,3,6173,13832,1,95.7,95.3,7.29,7.22,0,42.9,,,,,,,,,2.75,361,,,41
2020,5,4,6133,14104,11110,95.4,95.7,7.3,7.22,21760,27.4,4.54,,5302,5347,904,954,0.17,0.18,2.87,158,3,2.13,56.9
2020,5,5,5827,13716,14240,95.7,95.5,7.2,7.15,8408,25.4,5.19,101900,5242,5255,713,797,0.14,0.15,3.68,177,2.94,3.15,89.2
2020,5,6,5877,13866,19535,95.4,95.6,7.29,7.23,24960,21.8,1.16,179025,4874,4927,2141,2017,0.44,0.41,3.24,422,3.13,3.34,123.9
2020,5,7,7218,13788,29847,95.5,95.8,7.18,7.14,8931,16.9,1.73,36900,5207,4777,1477,2291,0.28,0.48,3.17,337,,,155.6
2020,5,8,5202,13548,22316,95.9,95.6,7.13,7.06,24328,20.9,9.27,,5257,5082,1560,1444,0.3,0.28,3.12,662,2.97,4.78,186.3
2020,5,9,4864,13690,18432,95.3,95.2,7.29,7.21,6576,23.2,,,,,,,,,2.72,844,2.85,,204.8
2020,5,10,5440,13679,7184,95.6,95.4,7.26,7.23,0,32.6,,,5103,4979,2125,1751,0.42,0.35,2.7,258,2.92,,202.7
2020,5,11,4752,12571,0,95.9,95.5,7.45,7.44,12688,49.5,7.65,,5873,5575,1245,2125,0.21,0.38,2.71,165,3.2,3.28,120
2020,5,12,4545,10067,10205,95.6,95.7,7.4,7.4,10547,34.6,4.74,,5843,5770,1535,2523,0.26,0.44,2.7,134,,3.74,75.3
2020,5,13,3597,17380,18430,95.5,95.6,7.34,7.33,13552,21.8,1.44,,5920,5402,1519,1884,0.26,0.35,2.7,364,1.88,3.23,111.9
2020,5,14,5003,15219,15684,95.1,95.9,7.44,7.4,8312,23.9,6.32,141625,5655,5845,2208,2158,0.39,0.37,3.82,330,1.38,3.3,122
2020,5,15,3430,16759,12579,95.8,95.7,7.41,7.42,19393,26.2,5.45,,5678,5472,2506,2681,0.44,0.49,4.38,315,1.39,4.34,118.8
2020,5,16,3514,13250,5824,95.3,95.5,7.43,7.42,0,38,,,,,,,,,3.29,234,1.67,,75.3
2020,5,17,3993,13570,5821,95.4,95.7,7.44,7.43,0,36.7,,,5735,5818,2473,2498,0.43,0.43,3.74,366,1.75,,61.4
2020,5,18,3401,13691,8210,95.7,95.3,7.45,7.4,25027,33.9,4.28,1123025,5968,5750,2432,2855,0.41,0.5,3.45,74.8,1.97,4.1,55.7
2020,5,19,3439,14121,31414,95.2,95.8,7.46,7.34,11200,17.5,2.98,106550,5928,5820,2224,2930,0.38,0.5,3.39,409,2.1,2.63,101.7
2020,5,20,3525,14133,20494,95.7,95.6,7.5,7.4,24350,22.5,2.15,71175,6413,6283,1552,1452,0.24,0.23,3.31,618,2.27,2.88,98.7
2020,5,21,5451,14139,13432,95.2,95.4,7.59,7.45,1000,26,2.94,64550,6208,5537,1983,1793,0.32,0.32,3.28,376,2.44,2.91,78
2020,5,22,3952,14178,0,95.8,95.7,7.43,7.35,7200,47.3,7.24,198825,6706,5998,821,2606,0.12,0.43,3.07,430,2.29,3.4,62.9
2020,5,23,4420,13503,0,95.6,95.5,7.55,7.42,0,47.9,,,,,,,,,2.98,330,2.66,,42.5
2020,5,24,3815,13635,0,95.7,95.8,7.42,7.38,0,49.2,,,5645,5578,2133,2672,0.38,0.48,2.84,293,2.72,,34.1
2020,5,25,3797,13735,0,95.9,95.6,7.4,7.34,0,48.9,,,5658,5332,2656,2805,0.47,0.53,3.19,144,2.8,,28.9
2020,5,26,4966,15362,13082,95.8,95.5,7.28,7.26,15000,25.7,7.56,,5718,5332,2697,2789,0.47,0.52,3.71,138,2.99,4.52,73.8
2020,5,27,4795,16665,18374,95.7,95.4,7.29,7.24,16500,21.5,7.44,230900,5600,5212,1660,2058,0.3,0.39,3.46,148,3.2,0.41,129
2020,5,28,6814,12580,14100,95.1,95.5,7.3,7.31,15735,25.6,5.66,184250,5317,5080,1975,2042,0.37,0.4,4.13,185,3.21,4.69,134.4
2020,5,29,5178,12624,9438,95.6,95.9,7.4,7.36,17997,31.5,5.2,116750,5535,5272,1817,2050,0.33,0.39,3.86,196,3.31,5.29,89.7
2020,5,30,4879,9738,8345,95.2,95.1,7.39,7.38,0,37.4,,,,,,,,,3.44,178,3.34,,67.3
2020,5,31,4836,9376,8345,95.1,95.8,7.32,7.3,0,38,,,5955,5845,2158,2299,0.36,0.39,3.21,103,3.18,,68.4
2020,6,1,4630,11200,9438,95.2,95.7,7.45,7.39,10000,34,6.38,,6068,5900,1950,2755,0.32,0.47,3.3,110,3.11,2.63,77.4
2020,6,2,6977,9819,6679,95.2,95.3,7.43,7.39,0,36.5,6.34,,6293,5950,1718,2000,0.27,0.34,3.43,249,3.17,3.85,54.5
2020,6,3,5094,11628,6425,95.4,95.4,7.45,7.37,7000,37.1,7.64,63350,6055,5768,1627,1834,0.27,0.32,3.79,265,2.95,1.9,39.6
2020,6,4,6456,15306,7370,95.2,95.7,7.47,7.38,0,29.5,,142375,6080,5945,1992,1950,0.33,0.33,3.55,307,2.91,1.83,64.8
2020,6,5,6174,9154,6121,95.3,95.5,7.46,7.41,5000,40,9,85975,5888,5680,1967,2614,0.33,0.46,3.55,517,3.5,3.5,62.2
2020,6,6,6280,5299,5662,95.4,95.3,7.34,7.34,0,49.8,9.65,,,,,,,,3.4,447,3.15,,59
2020,6,7,6153,7973,6390,95.7,95.3,7.39,7.34,0,41.8,,,6020,5675,1726,1942,0.29,0.34,3.274,464,3.1,,61.8
2020,6,8,7019,13904,8669,95.2,95.6,7.34,7.31,14500,29,,,5730,5570,1942,1859,0.34,0.33,3.41,180,3.3,3.53,81.1
2020,6,9,7336,16963,12210,95.3,95.6,7.32,7.31,8758,23.5,11.32,168175,6151,5953,1519,1759,0.25,0.3,4.22,309,3.23,4.18,94
2020,6,10,7824,15807,15649,95.9,95.5,7.36,7.33,20000,21.8,14.4,186550,6075,5750,2133,2241,0.35,0.39,4.08,344,3.14,4.47,130.3
2020,6,11,8062,10500,13609,95.5,95.4,7.4,7.37,7700,26.7,8.76,250475,6095,6080,1934,2042,0.32,0.34,3.58,197,3.27,5.54,124.5
2020,6,12,6921,9462,7823,95.6,95.8,7.41,7.39,10277,35.4,9.14,143575,6406,6511,1983,1817,0.31,0.28,3.43,266,3.17,3.64,98.9
2020,6,13,6413,8019,7653,95.7,95,7.38,7.35,0,38.8,,,,,,,,,3.28,355,3.5,,93.4
2020,6,14,6928,7913,7801,95.7,95.9,7.42,7.32,0,37.9,,,6023,6131,2797,2647,0.46,0.43,3.25,373,2.99,,100.3
2020,6,15,6255,11245,10059,95.9,95.6,7.39,7.31,17300,31.1,9.52,187150,6331,6423,2083,2822,0.33,0.44,3.25,279,2.99,2.83,115.8
2020,6,16,2477,2183,2437,95.6,95.8,7.38,7.35,4000,120.9,9.26,25810,6418,6253,2581,2631,0.4,0.42,3.33,254,,3.19,74.7
2020,6,17,4076,11870,16062,95.5,95.6,7.47,7.41,14600,26.8,6.67,105125,6213,5800,2564,2755,0.41,0.48,3.45,477,3.21,,92.6
2020,6,18,8440,7261,9764,95.8,95.2,7.35,7.33,2400,33.7,5.55,63400,6308,6040,2639,1502,0.42,0.25,3.35,438,3.18,3.74,108.2
2020,6,19,6792,16248,10784,95.3,95.3,7.4,7.41,22300,25.4,2.63,,6501,6396,2614,1809,0.4,0.28,3.74,377,3.15,4.48,93.7
2020,6,20,8071,8672,9987,95.2,95.5,7.26,7.36,0,32.1,,,,,,,,,3.33,307,3.33,,93.7
2020,6,21,7867,662,9986,95.4,95.8,7.39,7.41,0,46.3,,,6413,6276,2274,1950,0.35,0.31,3.64,170,3.35,,75.9
2020,6,22,7644,25169,20991,95.3,95.3,7.43,7.38,25000,15.9,7.61,135675,6518,6568,2042,1876,0.31,0.29,4.61,183,3.22,5.5,106.8
2020,6,23,7546,9033,16370,95.8,95.9,7.41,7.38,6080,26,1.13,151000,6964,6954,1900,2091,0.27,0.3,3.61,161,3.2,4.61,119
2020,6,24,7543,8063,22129,95.5,95.8,7.45,7.43,27000,22.7,3.29,133550,6784,6671,1784,1809,0.26,0.27,3.44,528,3.12,3.82,140
2020,6,25,8375,7266,25938,95.3,95.6,7.46,7.45,22400,20.6,5.86,95525,7129,7056,1892,2241,0.27,0.32,3.48,522,3.18,4.8,155.6
2020,6,26,6488,8293,19584,95.5,95.9,7.52,7.47,24657,25,4.95,129775,7467,7537,1784,2332,0.24,0.31,3.52,482,3.29,3.59,132.4
2020,6,27,7171,6012,7010,95.6,95.8,7.37,7.36,0,42.5,,,,,,,,,3.36,472,3.29,,73.6
2020,6,28,6766,6103,5196,95.1,95.9,7.46,7.42,0,47.5,,,7362,7377,1983,1676,0.27,0.23,3.15,221,3.2,,57
2020,6,29,6949,17749,12378,95.5,95.4,7.55,7.45,21561,23.1,5.13,109950,7359,7334,1959,1693,0.27,0.23,3.14,156.8,3.28,4.61,75.4
2020,6,30,5694,10256,10758,95.5,95.4,7.44,7.39,263,32.1,7.14,126825,7267,7204,1917,1751,0.26,0.24,3.18,131,3.35,4.52,87.4
2020,7,1,5728,10308,11753,95.6,95.3,7.52,7.41,15000,30.9,8.64,152275,7269,7262,1876,2224,0.26,0.31,3.41,151,3.24,4.87,78.1
2020,7,2,5597,10957,10029,96,95.3,7.43,7.37,9700,32.3,13.28,,6959,6528,1726,2448,0.25,0.38,3.11,141,3.13,4.75,105.3
2020,7,3,5123,9110,3640,95.4,95.3,7.44,7.41,0,48,,,6861,6601,1801,2282,0.26,0.35,2.95,152,3.38,,71.3
2020,7,4,5557,8994,4918,95.8,95.6,7.49,7.49,0,44.1,,,,,,,,,2.76,168,3.12,,62.7
2020,7,5,5606,9091,3368,95.3,95.9,7.51,7.45,0,47.5,,,6536,6651,2324,2714,0.36,0.41,2.8,162,2.97,,78.3
